id,article_id,ticker_id,sentiment,target_price,opinion,analyzed_at
1,1,3016,1,370000,Buy,2026-05-03 23:41:44.304029+00:00
2,2,2937,1,172000,Buy,2026-05-03 23:41:44.304029+00:00
3,3,3024,1,170000,Buy,2026-05-03 23:41:44.304029+00:00
4,4,3758,1,60000,Buy,2026-05-03 23:41:44.304029+00:00
5,5,3016,1,390000,Buy,2026-05-03 23:41:44.304029+00:00
6,6,3117,1,76000,Buy,2026-05-03 23:41:44.304029+00:00
7,7,3758,0,,,2026-05-03 23:41:44.304029+00:00
8,8,3024,1,150000,Buy,2026-05-03 23:41:44.304029+00:00
9,9,3734,1,2400000,Buy,2026-05-03 23:41:44.304029+00:00
10,10,3033,1,65000,Buy,2026-05-03 23:41:44.304029+00:00
11,11,2954,1,320000,Buy,2026-05-03 23:41:44.304029+00:00
12,12,3331,1,156000,Buy,2026-05-03 23:41:44.304029+00:00
13,13,3734,1,1920000,Buy,2026-05-03 23:41:44.304029+00:00
14,14,3024,1,130000,Buy,2026-05-03 23:41:44.304029+00:00
15,15,3351,1,27000,Buy,2026-05-03 23:41:44.304029+00:00
16,16,3758,1,61000,매수,2026-05-03 23:41:44.304029+00:00
17,17,3316,1,180000,매수,2026-05-03 23:41:44.304029+00:00
18,18,3081,1,2000000,매수,2026-05-03 23:41:44.304029+00:00
19,19,2954,1,340000,매수,2026-05-03 23:41:44.304029+00:00
20,20,3016,1,400000,매수,2026-05-03 23:41:44.304029+00:00
21,21,3024,1,145000,매수,2026-05-03 23:41:44.304029+00:00
22,22,3114,1,390000,매수,2026-05-03 23:41:44.304029+00:00
23,23,3251,0,180000,N/A,2026-05-03 23:41:44.304029+00:00
24,24,3331,1,160000,매수,2026-05-03 23:41:44.304029+00:00
25,25,3316,1,160000,매수,2026-05-03 23:41:44.304029+00:00
26,26,3016,1,400000,매수,2026-05-03 23:41:44.304029+00:00
27,27,3016,1,400000,Buy,2026-05-03 23:41:44.304029+00:00
28,28,3024,1,165000,Buy,2026-05-03 23:41:44.304029+00:00
29,29,3316,1,165000,Buy,2026-05-03 23:41:44.304029+00:00
30,30,3117,1,80000,Buy,2026-05-03 23:41:44.304029+00:00
31,31,4424,0,220000,Hold,2026-05-03 23:41:44.304029+00:00
32,32,3437,0,72000,Hold,2026-05-03 23:41:44.304029+00:00
33,33,3251,1,170000,Buy,2026-05-03 23:41:44.304029+00:00
34,34,3029,1,140000,Buy,2026-05-03 23:41:44.304029+00:00
35,35,3621,1,460000,Buy,2026-05-03 23:41:44.304029+00:00
36,36,3040,1,43000,Buy,2026-05-03 23:41:44.304029+00:00
37,37,3075,1,1500000,Buy,2026-05-03 23:41:44.304029+00:00
38,38,4777,1,160000,Buy,2026-05-03 23:41:44.304029+00:00
39,39,4244,0,,Not Rated,2026-05-03 23:41:44.304029+00:00
40,40,5000,1,300000,Buy,2026-05-03 23:41:44.304029+00:00
41,41,3600,1,217000,Buy,2026-05-03 23:41:44.304029+00:00
42,42,3600,1,223000,Buy,2026-05-03 23:41:44.304029+00:00
43,43,3822,0,,Not Rated,2026-05-03 23:41:44.304029+00:00
44,44,3075,1,1450000,Buy,2026-05-03 23:41:44.304029+00:00
45,45,3721,1,57000,Buy,2026-05-03 23:41:44.304029+00:00
46,46,3600,1,200000,Buy,2026-05-03 23:41:44.304029+00:00
47,47,3215,1,700000,Buy,2026-05-03 23:41:44.304029+00:00
48,48,3215,1,600000,Buy,2026-05-03 23:41:44.304029+00:00
49,49,3329,1,155000,Buy,2026-05-03 23:41:44.304029+00:00
50,50,4439,0,,,2026-05-03 23:41:44.304029+00:00
51,51,3329,1,164000,Buy,2026-05-03 23:41:44.304029+00:00
52,52,3029,1,150000,Buy,2026-05-03 23:41:44.304029+00:00
53,53,3215,1,850000,매수,2026-05-03 23:41:44.304029+00:00
54,54,3084,1,90000,매수,2026-05-03 23:41:44.304029+00:00
55,55,3329,1,175000,매수,2026-05-03 23:41:44.304029+00:00
