id,ticker_id,community_id,stat_date,mention_count,positive_count,negative_count,neutral_count,calculated_at
3633,5595,3,2025-07-11,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3634,3710,3,2026-03-19,2,0,0,2,2026-05-05 01:53:06.798071+00:00
3635,3316,2,2026-04-28,4,4,0,0,2026-05-05 01:53:06.798071+00:00
3636,5718,3,2026-03-24,1,0,1,0,2026-05-05 01:53:06.798071+00:00
3637,3367,2,2026-04-22,44,4,0,40,2026-05-05 01:53:06.798071+00:00
3638,5717,3,2025-04-12,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3639,5715,3,2025-07-23,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3640,3719,3,2025-07-31,2,1,1,0,2026-05-05 01:53:06.798071+00:00
3641,3367,3,2025-04-24,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3642,3731,3,2026-03-17,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3643,5715,2,2026-04-14,2,0,0,2,2026-05-05 01:53:06.798071+00:00
3644,5596,3,2025-07-10,2,0,0,2,2026-05-05 01:53:06.798071+00:00
3645,5596,3,2025-07-07,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3646,5608,2,2026-04-30,20,4,0,16,2026-05-05 01:53:06.798071+00:00
3647,5715,3,2025-04-17,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3648,5717,3,2025-05-25,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3649,3579,3,2026-04-02,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3650,5717,2,2026-04-16,2,0,0,2,2026-05-05 01:53:06.798071+00:00
3651,5604,3,2025-05-02,1,1,0,0,2026-05-05 01:53:06.798071+00:00
3652,3719,2,2026-04-29,8,0,0,8,2026-05-05 01:53:06.798071+00:00
3653,3367,3,2026-03-04,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3654,5596,2,2026-04-16,5,1,0,4,2026-05-05 01:53:06.798071+00:00
3655,5607,2,2026-04-23,8,0,2,6,2026-05-05 01:53:06.798071+00:00
3656,3710,2,2026-04-22,20,8,2,10,2026-05-05 01:53:06.798071+00:00
3657,5596,3,2025-07-05,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3658,5595,3,2025-08-18,2,0,0,2,2026-05-05 01:53:06.798071+00:00
3659,3609,2,2026-04-22,13,0,1,12,2026-05-05 01:53:06.798071+00:00
3660,5596,3,2025-03-17,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3662,5596,3,2025-01-30,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3663,5607,2,2026-04-15,1,1,0,0,2026-05-05 01:53:06.798071+00:00
3664,5596,3,2025-11-07,1,1,0,0,2026-05-05 01:53:06.798071+00:00
3665,5609,3,2025-05-15,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3666,3579,3,2026-01-30,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3667,5717,2,2026-04-24,26,2,4,20,2026-05-05 01:53:06.798071+00:00
3668,5716,3,2026-04-11,1,0,0,1,2026-05-05 01:53:06.798071+00:00
3669,3579,3,2026-02-20,1,0,0,1,2026-05-05 01:53:06.798071+00:00
