id,symbol,name,market,is_active,created_at
2932,279570,케이뱅크,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2933,217590,티엠씨,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2934,0126Z0,삼성에피스홀딩스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2935,0120G0,삼양바이오팜,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2936,317450,명인제약,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2937,439260,대한조선,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2938,0030R0,대신밸류리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2939,483650,달바글로벌,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2940,480370,씨케이솔루션,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2941,031210,서울보증보험,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2942,064400,LG씨엔에스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2943,499790,GS피앤엘,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2944,484870,엠앤씨솔루션,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2945,415640,KB발해인프라,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2946,475560,더본코리아,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2947,489790,한화비전,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2948,079900,전진건설로봇,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2949,487570,HS효성,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2950,062040,산일전기,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2951,462870,시프트업,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2952,481850,신한글로벌액티브리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2953,034230,파라다이스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2954,443060,HD현대마린솔루션,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2955,475150,SK이터닉스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2956,278470,에이피알,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2957,066970,엘앤에프,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2958,022100,포스코DX,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2959,017860,DS단석,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2960,111380,동인기연,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2961,450080,에코프로머티,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2962,454910,두산로보틱스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2963,465770,STX그린로지스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2964,092790,넥스틸,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2965,030190,NICE평가정보,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2966,462520,조선내화,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2967,090460,비에이치,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2968,460850,동국씨엠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2969,460860,동국제강,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2970,457190,이수스페셜티케미컬,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2971,456040,OCI,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2972,100090,SK오션플랜트,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2973,448730,삼성FN리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2974,453340,현대그린푸드,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2975,452260,한화갤러리아,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2976,451800,한화리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2977,377740,바이오노트,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2978,446070,유니드비티플러스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2979,108320,LX세미콘,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2980,432320,KB스타리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2981,403550,쏘카,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2982,126720,수산인더스트리,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2983,357430,마스턴프리미어리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2984,417310,코람코더원리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2985,373220,LG에너지솔루션,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2986,404990,신한서부티엔디리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2987,396690,미래에셋글로벌리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2988,402340,SK스퀘어,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2989,400760,NH올원리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2990,377300,카카오페이,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2991,381970,케이카,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2992,329180,HD현대중공업,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2993,395400,SK리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2994,271940,일진하이솔루스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2995,377190,디앤디플랫폼리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2996,139990,아주스틸,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2997,089860,롯데렌탈,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2998,372910,한컴라이프케어,KOSPI,True,2026-05-03 11:47:30.500918+00:00
2999,259960,크래프톤,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3000,178920,PI첨단소재,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3001,323410,카카오뱅크,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3002,137310,에스디바이오센서,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3003,097520,엠씨넥스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3004,383800,LX홀딩스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3005,383220,F&F,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3006,361610,SK아이이테크놀로지,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3007,302440,SK바이오사이언스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3008,378850,화승알앤에이,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3009,950210,프레스티지바이오파마,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3010,248070,솔루엠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3011,375500,DL이앤씨,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3012,365550,ESR켄달스퀘어리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3013,009900,명신산업,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3014,244920,에이플러스에셋,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3015,339770,교촌에프앤비,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3016,352820,하이브,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3017,363280,티와이홀딩스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3018,357120,코람코라이프인프라리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3019,348950,제이알글로벌리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3020,357250,미래에셋맵스리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3021,350520,이지스레지던스리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3022,334890,이지스밸류플러스리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3023,326030,에스케이바이오팜,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3024,353200,대덕전자,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3025,344820,케이씨씨글라스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3026,338100,NH프라임리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3027,308170,씨티알모빌리티,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3028,322000,HD현대에너지솔루션,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3029,272210,한화시스템,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3030,317400,자이에스앤디,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3031,330590,롯데리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3032,013890,지누스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3033,336260,두산퓨얼셀,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3034,336370,솔루스첨단소재,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3035,036420,콘텐트리중앙,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3036,003670,포스코퓨처엠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3037,307950,현대오토에버,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3038,192650,드림텍,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3039,192080,더블유게임즈,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3040,316140,우리금융지주,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3041,298690,에어부산,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3042,267850,아시아나IDT,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3043,306200,세아제강,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3044,293480,하나제약,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3045,010400,우진아이엔에스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3046,293940,신한알파리츠,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3047,300720,한일시멘트,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3048,091810,트리니티항공,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3049,286940,롯데이노베이트,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3050,298050,HS효성첨단소재,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3051,298040,효성중공업,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3052,298020,효성티앤씨,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3053,298000,효성화학,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3054,088260,이리츠코크렙,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3055,294870,IPARK현대산업개발,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3056,018250,애경산업,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3057,068270,셀트리온,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3058,284740,쿠쿠홈시스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3059,285130,SK케미칼,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3060,282330,BGF리테일,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3061,092780,DYP,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3062,272450,진에어,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3063,281820,케이씨텍,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3064,272550,삼양패키징,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3065,055490,테이팩스,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3066,280360,롯데웰푸드,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3067,271980,제일약품,KOSPI,True,2026-05-03 11:47:30.500918+00:00
3068,035720,카카오,KOSPI,True,2026-05-03 11:47:30.500918+00:00
